Year,County,FIP_code,State,Specificity ,Accessibility ,CombinedRecVar,,,,,,,
2019,Allegany,24001,Maryland,0.5,0.5,0.25,,,,,,,
2015,Anne Arundel,24003,Maryland,4,4,16,,,,,,,
2015,Baltimore,24005,Maryland,0.5,1,0.5,,,,,,,
2015,Baltimore City ,24510,Maryland,0.5,1,0.5,,,,,,,
2015,Calvert,24009,Maryland,5,5,25,,,,,,,
2015,Caroline,24011,Maryland,0.5,1,0.5,,,,,,,
2015,Carroll,24013,Maryland,0.5,1,0.5,,,,,,,
2015,Cecil,24015,Maryland,0.5,1,0.5,,,,,,,
2015,Charles,24017,Maryland,5,5,25,,,,,,,
2015,Dorchester ,24019,Maryland,0.5,1,0.5,,,,,,,
2015,Frederick,24021,Maryland,6,3,18,,,,,,,
2015,Garrett,24023,Maryland,0.5,1,0.5,,,,,,,
2015,Harford,24025,Maryland,0.5,5,2.5,,,,,,,
2016,Howard,24027,Maryland,7,6,42,,,,,,,
2015,Kent,24029,Maryland,1,4,4,,,,,,,
2015,Montgomery,24031,Maryland,0.5,6,3,,,,,,,
2016,Prince George's,24033,Maryland,0.5,5,2.5,,,,,,,
2017,Queen Anne's,24035,Maryland,0.5,1,0.5,,,,,,,
2015,Saint Mary's,24037,Maryland,1,5,5,,,,,,,
2015,Somerset,24039,Maryland,0.5,1,0.5,,,,,,,
2017,Talbot,24041,Maryland,1,4,4,,,,,,,
2018,Washington,24043,Maryland,0.5,1,0.5,,,,,,,
2015,Wicomico,24045,Maryland,0.5,1,0.5,,,,,,,
2015,Worcester,24047,Maryland,3,6,18,,,,,,,
2017,Adams,53001,Washington,0.5,0.5,0.25,,,,,,,
2018,Asotin,53003,Washington,0.5,1,0.5,,,,,,,
2015,Benton,53005,Washington,0.5,1,0.5,,,,,,,
2015,Chelan,53007,Washington,0.5,1,0.5,,,,,,,
2015,Clallam,53009,Washington,0.5,1,0.5,,,,,,,
2015,Clark,53011,Washington,5,5,25,,,,,,,
2016,Columbia,53013,Washington,0.5,0.5,0.25,,,,,,,
2019,Cowlitz,53015,Washington,0.5,0.5,0.25,,,,,,,
2015,Douglas,53017,Washington,0.5,1,0.5,,,,,,,
2015,Ferry,53019,Washington,0.5,1,0.5,,,,,,,
2015,Franklin,53021,Washington,0.5,1,0.5,,,,,,,
2019,Garfield,53023,Washington,0.5,0.5,0.25,,,,,,,
2015,Grant,53025,Washington,0.5,1,0.5,,,,,,,
2015,Grays Harbor,53027,Washington,0.5,0.5,0.25,,,,,,,
2019,Island,53029,Washington,0.5,0.5,0.25,,,,,,,
2017,Jefferson,53031,Washington,0.5,3,1.5,,,,,,,
2015,King,53033,Washington,2,5,10,,,,,,,
2015,Kitsap ,53035,Washington,0.5,1,0.5,,,,,,,
2015,Kittitas,53037,Washington,0.5,1,0.5,,,,,,,
2016,Klickitat,53039,Washington,0.5,1,0.5,,,,,,,
2019,Lewis,53041,Washington,0.5,0.5,0.25,,,,,,,
2019,Lincoln,53043,Washington,0.5,1,0.5,,,,,,,
2015,Mason,53045,Washington,0.5,1,0.5,,,,,,,
2019,Okanogan,53047,Washington,0.5,1,0.5,,,,,,,
2015,Pacific,53049,Washington,0.5,1,0.5,,,,,,,
2015,Pend Oreille,53051,Washington,0.5,1,0.5,,,,,,,
2015,Pierce ,53053,Washington,2,3,6,,,,,,,
2016,San Juan,53055,Washington,1,4,4,,,,,,,
2015,Skagit,53057,Washington,0.5,0.5,0.25,,,,,,,
2015,Skamania,53059,Washington,0.5,0.5,0.25,,,,,,,
2015,Snohomish,53061,Washington,5,4,20,,,,,,,
2015,Spokane,53063,Washington,1,3,3,,,,,,,
2015,Stevens,53065,Washington,0.5,1,0.5,,,,,,,
2019,Thurston,53067,Washington,4,4,16,,,,,,,
2019,Wahkiakum,53069,Washington,0.5,1,0.5,,,,,,,
2019,Walla Walla,53071,Washington,0.5,1,0.5,,,,,,,
2015,Whatcom,53073,Washington,0.5,0.5,0.25,,,,,,,
2015,Whitman,53075,Washington,4,5,20,,,,,,,
2015,Yakima,53077,Washington,0.5,1,0.5,,,,,,,
2015,Alameda,06001,California,1,4,4,,,,,,,
2015,Alpine,06003,California,0.5,0.5,0.25,,,,,,,
2015,Amador,06005,California,0.5,5,2.5,,,,,,,
2019,Butte,06007,California,7,4,28,,,,,,,
2017,Calaveras,06009,California,0.5,1,0.5,,,,,,,
2019,Colusa,06011,California,0.5,0.5,0.25,,,,,,,
2015,Contra Costa,06013,California,1,4,4,,,,,,,
2015,Del Norte,06015,California,0.5,1,0.5,,,,,,,
2015,El Dorado,06017,California,0.5,1,0.5,,,,,,,
2019,Fresno,06019,California,2,5,10,,,,,,,
2016,Glenn,06021,California,0.5,1,0.5,,,,,,,
2015,Humboldt,06023,California,5,4,20,,,,,,,
2015,Imperial,06025,California,1,5,5,,,,,,,
2015,Inyo,06027,California,0.5,1,0.5,,,,,,,
2015,Kern,06029,California,1,4,4,,,,,,,
2015,Kings,06031,California,0.5,0.5,0.25,,,,,,,
2015,Lake,06033,California,0.5,1,0.5,,,,,,,
2019,Lassen,06035,California,4,5,20,,,,,,,
2015,Los Angeles,06037,California,7,4,28,,,,,,,
2018,Madera,06039,California,0.5,1,0.5,,,,,,,
2015,Marin,06041,California,1,4,4,,,,,,,
2019,Mariposa,06043,California,0.5,1,0.5,,,,,,,
2019,Mendocino,06045,California,0.5,1,0.5,,,,,,,
2019,Merced,06047,California,1,4,4,,,,,,,
2015,Modoc,06049,California,0.5,1,0.5,,,,,,,
2015,Mono,06051,California,3,5,15,,,,,,,
2015,Monterey,06053,California,1,6,6,,,,,,,
2015,Napa,06055,California,0.5,1,0.5,,,,,,,
2019,Nevada,06057,California,0.5,1,0.5,,,,,,,
2015,Orange,06059,California,4,5,20,,,,,,,
2019,Placer,06061,California,5,5,25,,,,,,,
2019,Plumas,06063,California,0.5,1,0.5,,,,,,,
2015,Riverside,06065,California,1,5,5,,,,,,,
2019,Sacramento,06067,California,1,5,5,,,,,,,
2019,San Benito,06069,California,1,5,5,,,,,,,
2017,San Bernardino,06071,California,0.5,1,0.5,,,,,,,
2015,San Diego,06073,California,1,5,5,,,,,,,
2017,San Francisco,06075,California,1,4,4,,,,,,,
2015,San Joaquin,06077,California,0.5,1,0.5,,,,,,,
2017,San Luis Obispo,06079,California,0.5,1,0.5,,,,,,,
2015,San Mateo,06081,California,5,5,25,,,,,,,
2015,Santa Barbara,06083,California,0.5,1,0.5,,,,,,,
2017,Santa Clara,06085,California,5,5,25,,,,,,,
2015,Santa Cruz,06087,California,7,4,28,,,,,,,
2015,Shasta,06089,California,2,3,6,,,,,,,
2019,Sierra,06091,California,0.5,1,0.5,,,,,,,
2019,Siskiyou,06093,California,0.5,1,0.5,,,,,,,
2015,Solano,06095,California,0.5,1,0.5,,,,,,,
2015,Sonoma,06097,California,1,4,4,,,,,,,
2015,Stanislaus,06099,California,0.5,1,0.5,,,,,,,
2015,Sutter,06101,California,0.5,1,0.5,,,,,,,
2015,Tehama,06103,California,0.5,1,0.5,,,,,,,
2019,Trinity,06105,California,1,5,5,,,,,,,
2019,Tulare,06107,California,0.5,0.5,0.25,,,,,,,
2019,Tuolumne,06109,California,0.5,1,0.5,,,,,,,
2017,Ventura,06111,California,1,5,5,,,,,,,
2015,Yolo,06113,California,0.5,1,0.5,,,,,,,
2019,Yuba,06115,California,0.5,0.5,0.25,,,,,,,
2016,Fairfield,09001,Connecticut,0.5,1,0.5,,,,,,,
2015,Hartford,09003,Connecticut,0.5,0.5,0.25,,,,,,,
2015,Litchfield,09005,Connecticut,0.5,1,0.5,,,,,,,
2015,Middlesex,09007,Connecticut,0.5,0.5,0.25,,,,,,,
2019,New Haven,09009,Connecticut,0.5,1,0.5,,,,,,,
2015,New London,09011,Connecticut,0.5,1,0.5,,,,,,,
2015,Tolland,09013,Connecticut,0.5,0.5,0.25,,,,,,,
2015,Windham,09015,Connecticut,0.5,1,0.5,,,,,,,
2015,Washington,11001,District of Columbia,1,5,5,,,,,,,
2016,Atlantic,34001,New Jersey,5,4,20,,,,,,,
2019,Bergen,34003,New Jersey,1,4,4,,,,,,,
2015,Burlington,34005,New Jersey,0.5,1,0.5,,,,,,,
2017,Camden,34007,New Jersey,0.5,4,2,,,,,,,
2015,Cape May,34009,New Jersey,0.5,1,0.5,,,,,,,
2017,Cumberland,34011,New Jersey,0.5,1,0.5,,,,,,,
2015,Essex,34013,New Jersey,0.5,0.5,0.25,,,,,,,
2015,Gloucester,34015,New Jersey,0.5,1,0.5,,,,,,,
2015,Hudson,34017,New Jersey,0.5,0.5,0.25,,,,,,,
2015,Hunterdon,34019,New Jersey,0.5,0.5,0.25,,,,,,,
2017,Mercer,34021,New Jersey,0.5,0.5,0.25,,,,,,,
2016,Middlesex,34023,New Jersey,2,5,10,,,,,,,
2015,Monmouth,34025,New Jersey,0.5,1,0.5,,,,,,,
2016,Morris,34027,New Jersey,0.5,1,0.5,,,,,,,
2015,Ocean,34029,New Jersey,7,4,28,,,,,,,
2019,Passaic,34031,New Jersey,0.5,1,0.5,,,,,,,
2016,Salem,34033,New Jersey,0.5,1,0.5,,,,,,,
2018,Somerset,34035,New Jersey,0.5,1,0.5,,,,,,,
2019,Sussex,34037,New Jersey,3,5,15,,,,,,,
2016,Union,34039,New Jersey,0.5,0.5,0.25,,,,,,,
2015,Warren,34041,New Jersey,0.5,1,0.5,,,,,,,
2015,Alamance,37001,North Carolina,0.5,5,2.5,,,,,,,
2015,Alexander,37003,North Carolina,0.5,1,0.5,,,,,,,
2016,Alleghany,37005,North Carolina,0.5,1,0.5,,,,,,,
2016,Anson,37007,North Carolina,0.5,0.5,0.25,,,,,,,
2016,Ashe,37009,North Carolina,0.5,1,0.5,,,,,,,
2015,Avery,37011,North Carolina,0.5,1,0.5,,,,,,,
2016,Beaufort,37013,North Carolina,0.5,0.5,0.25,,,,,,,
2015,Bertie,37015,North Carolina,0.5,1,0.5,,,,,,,
2019,Bladen,37017,North Carolina,0.5,1,0.5,,,,,,,
2015,Brunswick,37019,North Carolina,0.5,1,0.5,,,,,,,
2015,Buncombe,37021,North Carolina,1,4,4,,,,,,,
2019,Burke,37023,North Carolina,0.5,0.5,0.25,,,,,,,
