Year,State,Month,Accessibility (clicks),Specificity (groups),,,,,,
2015,CDC,October,4,7,,,,,,
2017,Alabama,September,3,7,,,,,,
2015,Alaska,September,5,1,,,,,,
2019,Arizona,December,4,1,,,,,,
2015,Arkansas,November,5,1,,,,,,
2015,California,October,2,1,,,,,,
2015,Colorado,October,1,-1,,,,,,
2015,Connecticut,October,2,4,,,,,,
2015,Delaware,October,5,7,,,,,,
2015,Florida,October,5,2,,,,,,
2015,Georgia,September,3,1,,,,,,
2015,Hawaii,September,5,3,,,,,,
2015,Idaho,October,5,1,,,,,,
2015,Illinois,October,1,-1,,,,,,
2015,Indiana,October,5,0,,,,,,
2015,Iowa,October,5,2,,,,,,
2015,Kansas,September,4,1,,,,,,
2018,Kentucky,September,4,7,,,,,,
2016,Louisiana,October,1,-1,,,,,,
2015,Maine,September,0,-1,,,,,,
2015,Maryland,November,5,7,,,,,,
2017,Massachusetts,October,0,-1,,,,,,
2015,Michigan,October,2,1,,,,,,
2015,Minnesota,September,4,1,,,,,,
2019,Mississippi,December,5,1,,,,,,
2015,Missouri,September,5,1,,,,,,
2015,Montana,October,4,7,,,,,,
2015,Nebraska,September,1,-1,,,,,,
2015,Nevada,October,0,-1,,,,,,
2015,New Hampshire,September,4,3,,,,,,
2015,New Jersey,September,2,0,,,,,,
2015,New Mexico,September,3,1,,,,,,
2015,New York,October,5,2,,,,,,
2015,North Carolina,October,5,4,,,,,,
2015,North Dakota ,September,2,4,,,,,,
2018,Ohio,December,6,1,,,,,,
2015,Oklahoma,October,2,7,,,,,,
2017,Oregon,October,4,1,,,,,,
2015,Pennsylvania,October,1,0,,,,,,
2015,Rhode Island,September,3,1,,,,,,
2015,South Carolina,September,2,2,,,,,,
2015,South Dakota,October,2,1,,,,,,
2018,Tennessee,September,0,-1,,,,,,
2016,Texas,October,5,3,,,,,,
2015,Utah,November,1,-1,,,,,,
2015,Vermont,December,4,7,,,,,,
2015,Virginia,October,3,1,,,,,,
2015,Washington,October,2,6,,,,,,
2015,West Virginia,September,3,1,,,,,,
2015,Wisconsin,September,1,-1,,,,,,
2015,Wyoming,September,1,-1,,,,,,
